"","Block","total_land_value_2017","total_improvement_value_2017","year","parklet"
"1","0001",0,0,2017,0
"2","0002",0,0,2017,0
"3","0004",0,0,2017,0
"4","0005",0,0,2017,0
"5","0006",0,0,2017,0
"6","0007",0,0,2017,0
"7","0010",13631040,9087359,2017,0
"8","0011",65337032,49363086,2017,0
"9","0012",25682239,9468944,2017,0
"10","0013",18168828,43218349,2017,0
"11","0014",124214457,83421638,2017,0
"12","0015",0,0,2017,0
"13","0016",0,0,2017,0
"14","0017",0,0,2017,0
"15","0018",40746695,28850020,2017,0
"16","0019",0,0,2017,0
"17","0020",47466562,68104202,2017,0
"18","0021",5991447,1021043,2017,0
"19","0022",34145312,70928392,2017,0
"20","0023",36440325,4862412,2017,0
"21","0024",34810091,36176233,2017,0
"22","0025",28237134,26497157,2017,0
"23","0026",37726138,29544852,2017,0
"24","0026T",1912497,2047121,2017,0
"25","0027",34242881,26994891,2017,0
"26","0028",23795616,41952185,2017,0
"27","0029",81403042,73383247,2017,0
"28","0030",102260492,65761100,2017,0
"29","0031",4717926,18752194,2017,0
"30","0032",3946940,7993872,2017,0
"31","0033",1973470,3996936,2017,0
"32","0034",0,0,2017,0
"33","0035",0,0,2017,0
"34","0036",0,0,2017,0
"35","0037",15675471,6071484,2017,0
"36","0038",11579054,18602265,2017,0
"37","0039",20939347,22195676,2017,0
"38","0040",15450424,11732230,2017,0
"39","0041",50858295,40230016,2017,0
"40","0042",0,0,2017,0
"41","0043",4142220,828444,2017,0
"42","0044",29293559,22072733,2017,0
"43","0045",50419213,39113660,2017,0
"44","0046",0,0,2017,0
"45","0047",16326514,15849847,2017,0
"46","0047C",68751137,87305068,2017,0
"47","0048",49643120,34890179,2017,0
"48","0049",16762937,14787539,2017,0
"49","0050",13356949,13195588,2017,0
"50","0051",51159489,50114475,2017,0
"51","0052",66964944,59940253,2017,0
"52","0053",2514255,2654826,2017,0
"53","0054",33830762,33128835,2017,0
"54","0055",32391531,41007940,2017,0
"55","0056",55283236,46802098,2017,0
"56","0057",0,0,2017,0
"57","0058",0,0,2017,0
"58","0059",65658071,67238128,2017,0
"59","0060",103310637,99023190,2017,0
"60","0061",69445022,53056731,2017,0
"61","0062",30471892,27711446,2017,0
"62","0063",25279586,23199000,2017,0
"63","0064",16567789,13407565,2017,0
"64","0065",20583553,21819838,2017,0
"65","0066",23007547,18613060,2017,0
"66","0067",28286418,18052794,2017,0
"67","0068",45037141,31715375,2017,0
"68","0069",66309641,61355393,2017,0
"69","0070",0,0,2017,0
"70","0071",46088930,41658583,2017,0
"71","0071C",21810951,27914551,2017,0
"72","0072",20622054,21978055,2017,0
"73","0073",23164982,20440249,2017,0
"74","0074",18247034,23352017,2017,0
"75","0075",0,0,2017,0
"76","0076",21076653,18057558,2017,0
"77","0077",29093504,23932127,2017,0
"78","0078",52029694,46721579,2017,0
"79","0079",7414932,4667210,2017,0
"80","0080",90200571,98512292,2017,0
"81","0081",25108463,37662696,2017,0
"82","0082",0,0,2017,0
"83","0083",645656,0,2017,0
"84","0084",6481213,49708952,2017,0
"85","0085",45057997,52834547,2017,0
"86","0086",28081941,25770882,2017,0
"87","0087",27574410,22236177,2017,0
"88","0088",22265263,19832152,2017,1
"89","0088",22265263,19832152,2017,1
"90","0089",21911167,24221091,2017,1
"91","0090",14926310,14161850,2017,0
"92","0091",23949620,20229621,2017,0
"93","0092",14951554,12906800,2017,0
"94","0093",37965878,32385892,2017,0
"95","0094",39181824,28820751,2017,0
"96","0094C",19819035,21936902,2017,0
"97","0095",42171837,39433625,2017,0
"98","0095C",15383139,18303074,2017,0
"99","0096",39307931,32338772,2017,0
"100","0097",33429010,33372956,2017,0
"101","0097C",23054226,26647013,2017,0
"102","0098",15475990,16429503,2017,0
"103","0098C",21476505,23168851,2017,0
"104","0099",19372685,20602716,2017,0
"105","0100",28861313,22955437,2017,0
"106","0101",31640448,26248386,2017,0
"107","0102",0,0,2017,1
"108","0102",0,0,2017,1
"109","0103",28419314,23863665,2017,1
"110","0103",28419314,23863665,2017,1
"111","0104",34930257,26177256,2017,1
"112","0104",34930257,26177256,2017,1
"113","0104",34930257,26177256,2017,1
"114","0105",47377542,35882697,2017,0
"115","0106",39998293,38856395,2017,0
"116","0107",4883549,93965906,2017,0
"117","0108",18662486,53788745,2017,0
"118","0109",0,0,2017,0
"119","0110",0,0,2017,0
"120","0111",23455575,43622560,2017,0
"121","0112",20169549,93288702,2017,0
"122","0113",21949062,15946161,2017,0
"123","0114",46063463,32020445,2017,0
"124","0115",37318844,27932149,2017,1
"125","0115",37318844,27932149,2017,1
"126","0115",37318844,27932149,2017,1
"127","0116",25486223,23222040,2017,1
"128","0116",25486223,23222040,2017,1
"129","0116",25486223,23222040,2017,1
"130","0117",16879131,14144378,2017,1
"131","0117",16879131,14144378,2017,1
"132","0118",29301166,21381571,2017,0
"133","0119",37400540,28052976,2017,0
"134","0120",66717896,57164093,2017,0
"135","0121",24219717,25112871,2017,0
"136","0121A",37872552,41842952,2017,0
"137","0122",41135485,32948901,2017,0
"138","0123",38756421,31694625,2017,0
"139","0124",25512976,21424393,2017,0
"140","0125",56727290,51431218,2017,0
"141","0126",34712313,29958336,2017,0
"142","0127",118710673,112117825,2017,0
"143","0127C",45617758,44587129,2017,0
"144","0128",3842966,3602678,2017,0
"145","0128C",90456055,110934741,2017,0
"146","0129",19426335,17320449,2017,0
"147","0130",22407379,14780910,2017,1
"148","0131",10643288,7585268,2017,1
"149","0131",10643288,7585268,2017,1
"150","0132",32520042,25535804,2017,0
"151","0133",47140644,34742548,2017,0
"152","0134",20862867,14812890,2017,0
"153","0135",38916826,41384849,2017,0
"154","0136",14867160,17431826,2017,0
"155","0137",0,0,2017,0
"156","0138",0,0,2017,0
"157","0139",0,0,2017,0
"158","0140",7546876,4642701,2017,0
"159","0141",10082346,33560594,2017,0
"160","0142",9445508,19059216,2017,0
"161","0143",17827284,16938134,2017,0
"162","0144",31801976,26820607,2017,1
"163","0145",28506816,25827189,2017,1
"164","0145",28506816,25827189,2017,1
"165","0145",28506816,25827189,2017,1
"166","0145",28506816,25827189,2017,1
"167","0146",30163163,25356906,2017,1
"168","0146",30163163,25356906,2017,1
"169","0147",16052091,14505893,2017,1
"170","0147",16052091,14505893,2017,1
"171","0148",15845546,20991816,2017,0
"172","0149",38278875,31542809,2017,0
"173","0150",56889875,44229948,2017,0
"174","0151",39837683,28311197,2017,0
"175","0152",22969047,18422300,2017,0
"176","0153",23446893,17945842,2017,0
"177","0154",18411476,16442254,2017,0
"178","0155",18238967,17143477,2017,0
"179","0156",23312158,16667491,2017,0
"180","0157",28166252,22060794,2017,0
"181","0158",30597913,26518723,2017,0
"182","0159",15232018,11973798,2017,0
"183","0160",7402878,8556743,2017,0
"184","0161",22260981,29903672,2017,1
"185","0162",25490896,17460563,2017,1
"186","0162",25490896,17460563,2017,1
"187","0162",25490896,17460563,2017,1
"188","0163",28927478,43251116,2017,1
"189","0164",37594008,33847446,2017,0
"190","0165",36710226,25191263,2017,0
"191","0166",72970849,79280439,2017,0
"192","0167",69554822,61048177,2017,0
"193","0168",66392069,49846105,2017,0
"194","0171",75358207,54247998,2017,0
"195","0172",173,0,2017,0
"196","0173",33103326,33490009,2017,0
"197","0174",35456182,34725009,2017,0
"198","0175",54515969,53057453,2017,0
